Session Number,Session Details,Problem ID List
2,Data Analytics Using Numpy,"26957, 19028, 23116, 57054, 57053, 57598, 19024, 27190, 26966, 95099, 95100, 95101, 26962, 58060, 23132, 26968, 26969, 58059, 58058, 19037, 26836, 19039, 27192, 26847, 19026, 26837, 26846, 57731, 23135, 27191, 19805, 27360, 57727, 19025, 27412, 27413, 27599, 15992, 27364, 27409, 27362, 27390, 27394, 101483, 23110, 27411, 19749, 19070, 19847"
3,Exploring the Entertainment Dataset - Data Loading and Cleaning using Pandas,"27195, 28047, 28380, 18479, 23260, 18581, 27337, 27338, 23161, 31684, 19872, 19810, 23349, 28412, 23353, 28590, 23265, 23169, 28372, 14837, 31685, 28375, 17087, 18854, 28424, 28429, 19195, 19154, 28383, 15176, 14715, 28702, 15169, 23273, 28720, 15170, 23233, 252269, 19155, 28060, 23261"
4,Exploring the Entertainment Dataset - Data Transformation & Cleaning using Pandas,"103228, 103383, 101485, 16088, 103246, 103332, 103424, 16048, 18605, 14721, 19920, 23266, 14775, 15172, 102720, 15171, 19932, 14787, 14838"
5,Data Vizualization using Gaming Data- 1,"24138, 105646, 22556, 24008, 24136, 19199, 25421, 24139"
6,Data Vizualization using Gaming Data- 2,"19255, 24026, 19206, 24140, 22549, 24120, 28842, 19809"
7,Singles to Centuries: Understanding Sachin's Scoring Patterns with Probability Distributions,"19973, 33489, 54285, 16391, 33105, 29846, 24354, 52536, 29847, 26433, 52539, 16537, 16540, 24922, 18293, 18287, 32390, 32386, 32383"
8,Decoding Delivery Patterns - Feature Engineering with Real-World Logistics Data,"34845, 34841, 19850, 18964, 21029, 35284, 16177, 34855, 23831, 20744, 20742, 20743, 27914, 19844, 16863, 57186, 91066, 91070, 27916, 91068, 91067"
9,Descriptive Statistics & Probability - Aerofit Case Study,"30125, 30107, 52681, 52711, 30108, 52712, 52682, 52680, 30123, 24921, 52706, 19709, 52707, 27219, 52708, 52714, 53841, 52965, 52715, 54246, 27213, 54251, 54429, 54425, 54253, 23656, 52705, 52937, 52710, 23657, 25241, 25249, 23658, 23655, 23664, 23652, 52557, 14661, 25657, 52615, 52611, 52574, 52573, 24025, 29151, 19849"
10,Central limit theorem & Confidence interval - Walmart Case Study,"14726, 24997, 24975, 24976, 25017, 24188, 25557, 56927, 56900, 56942, 56933, 56941, 24556, 16475, 57338, 24548, 57340"
11,What Drives the Price? - Predicting Used Car Value with Linear Regression,"477525, 477526, 477530, 477531, 477533, 785633, 785634"
12,To Loan or Not to Loan? - Predicting Chances of Loan Repayment with Logistic Regression,"477539, 477540, 477555, 477556"
